Report Date,County,Place of Fatality,Deaths by County of Residence
01/02/2022,Niagara,309,477
01/02/2022,Non-NYS,0,384
01/02/2022,Oneida,731,706
01/02/2022,Onondaga,"1,077",891
01/02/2022,Ontario,198,146
01/02/2022,Orange,891,835
01/02/2022,Orleans,52,104
01/02/2022,Oswego,92,148
01/02/2022,Otsego,113,71
01/02/2022,Putnam,94,106
01/02/2022,Queens,"6,021","7,420"
01/02/2022,Rensselaer,178,216
01/02/2022,Richmond,"1,221","1,243"
01/02/2022,Rockland,771,808
01/02/2022,Saratoga,195,268
01/02/2022,Schenectady,256,268
01/02/2022,Schoharie,7,29
01/02/2022,Schuyler,5,23
01/02/2022,Seneca,33,81
01/02/2022,St. Lawrence,147,159
01/02/2022,Statewide Total,"48,689","48,689"
01/02/2022,Steuben,174,218
01/02/2022,Suffolk,"3,854","3,834"
01/02/2022,Sullivan,82,103
01/02/2022,Tioga,40,78
01/02/2022,Tompkins,77,72
01/02/2022,Ulster,178,314
01/02/2022,Warren,168,107
01/02/2022,Washington,36,92
01/02/2022,Wayne,74,131
01/02/2022,Westchester,"2,643","2,422"
01/02/2022,Wyoming,61,74
01/02/2022,Yates,24,36
01/03/2021,Albany,313,215
01/03/2021,Allegany,54,74
01/03/2021,Bronx,"3,258","3,567"
01/03/2021,Broome,233,213
01/03/2021,Cattaraugus,41,45
01/03/2021,Cayuga,23,30
01/03/2021,Chautauqua,28,25
01/03/2021,Chemung,123,99
01/03/2021,Chenango,16,24
01/03/2021,Clinton,10,8
01/03/2021,Columbia,58,61
01/03/2021,Cortland,38,39
01/03/2021,Delaware,4,12
01/03/2021,Dutchess,260,250
01/03/2021,Erie,"1,322","1,240"
01/03/2021,Essex,13,16
01/03/2021,Franklin,8,9
01/03/2021,Fulton,27,38
01/03/2021,Genesee,51,57
01/03/2021,Greene,12,29
01/03/2021,Hamilton,0,1
01/03/2021,Herkimer,14,30
01/03/2021,Jefferson,11,12
01/03/2021,Kings,"4,914","5,467"
01/03/2021,Lewis,6,17
01/03/2021,Livingston,14,26
01/03/2021,Madison,64,69
01/03/2021,Manhattan,"3,662","2,266"
01/03/2021,Monroe,677,603
01/03/2021,Montgomery,49,53
01/03/2021,Nassau,"2,971","2,428"
01/03/2021,Niagara,137,190
01/03/2021,Non-NYS,0,156
01/03/2021,Oneida,268,268
01/03/2021,Onondaga,489,448
01/03/2021,Ontario,78,67
01/03/2021,Orange,538,521
01/03/2021,Orleans,42,64
01/03/2021,Oswego,38,44
01/03/2021,Otsego,19,16
01/03/2021,Putnam,66,67
01/03/2021,Queens,"4,354","5,409"
01/03/2021,Rensselaer,75,86
01/03/2021,Richmond,899,900
01/03/2021,Rockland,554,595
01/03/2021,Saratoga,31,48
01/03/2021,Schenectady,87,91
01/03/2021,Schoharie,0,5
01/03/2021,Schuyler,4,10
01/03/2021,Seneca,24,36
01/03/2021,St. Lawrence,45,46
01/03/2021,Statewide Total,"30,648","30,648"
01/03/2021,Steuben,109,125
01/03/2021,Suffolk,"2,406","2,361"
01/03/2021,Sullivan,37,42
01/03/2021,Tioga,39,54
01/03/2021,Tompkins,18,15
01/03/2021,Ulster,90,149
01/03/2021,Warren,37,32
01/03/2021,Washington,11,16
01/03/2021,Wayne,23,42
01/03/2021,Westchester,"1,828","1,683"
01/03/2021,Wyoming,20,26
01/03/2021,Yates,8,13
01/03/2022,Albany,769,442
01/03/2022,Allegany,82,138
01/03/2022,Bronx,"4,356","4,815"
01/03/2022,Broome,554,470
01/03/2022,Cattaraugus,194,189
01/03/2022,Cayuga,92,120
01/03/2022,Chautauqua,226,229
01/03/2022,Chemung,258,194
01/03/2022,Chenango,65,101
01/03/2022,Clinton,81,58
01/03/2022,Columbia,128,122
01/03/2022,Cortland,82,92
01/03/2022,Delaware,23,59
01/03/2022,Dutchess,585,541
01/03/2022,Erie,"2,518","2,258"
01/03/2022,Essex,35,48
01/03/2022,Franklin,21,33
01/03/2022,Fulton,85,134
01/03/2022,Genesee,145,163
01/03/2022,Greene,31,98
01/03/2022,Hamilton,0,4
01/03/2022,Herkimer,59,160
01/03/2022,Jefferson,107,118
01/03/2022,Kings,"7,084","7,853"
