Report Date,County,Place of Fatality,Deaths by County of Residence
07/24/2020,Schoharie,0,2
07/24/2020,Schuyler,0,0
07/24/2020,Seneca,0,1
07/24/2020,St. Lawrence,4,4
07/24/2020,Statewide Total,"25,103","25,103"
07/24/2020,Steuben,19,29
07/24/2020,Suffolk,"2,043","1,996"
07/24/2020,Sullivan,32,37
07/24/2020,Tioga,19,20
07/24/2020,Tompkins,2,0
07/24/2020,Ulster,49,81
07/24/2020,Warren,31,30
07/24/2020,Washington,11,14
07/24/2020,Wayne,1,2
07/24/2020,Westchester,"1,576","1,443"
07/24/2020,Wyoming,3,5
07/24/2020,Yates,6,6
07/24/2021,Albany,590,358
07/24/2021,Allegany,57,87
07/24/2021,Bronx,"4,145","4,573"
07/24/2021,Broome,407,367
07/24/2021,Cattaraugus,95,92
07/24/2021,Cayuga,77,92
07/24/2021,Chautauqua,139,146
07/24/2021,Chemung,175,137
07/24/2021,Chenango,54,77
07/24/2021,Clinton,38,33
07/24/2021,Columbia,105,104
07/24/2021,Cortland,61,64
07/24/2021,Delaware,17,39
07/24/2021,Dutchess,478,447
07/24/2021,Erie,"2,011","1,814"
07/24/2021,Essex,19,26
07/24/2021,Franklin,10,12
07/24/2021,Fulton,61,93
07/24/2021,Genesee,107,124
07/24/2021,Greene,30,79
07/24/2021,Hamilton,0,2
07/24/2021,Herkimer,53,110
07/24/2021,Jefferson,58,68
07/24/2021,Kings,"6,603","7,334"
07/24/2021,Lewis,13,36
07/24/2021,Livingston,36,60
07/24/2021,Madison,77,89
07/24/2021,Manhattan,"4,988","3,041"
07/24/2021,Monroe,"1,262","1,117"
07/24/2021,Montgomery,107,128
07/24/2021,Nassau,"3,848","3,184"
07/24/2021,Niagara,234,375
07/24/2021,Non-NYS,0,252
07/24/2021,Oneida,531,517
07/24/2021,Onondaga,795,680
07/24/2021,Ontario,117,93
07/24/2021,Orange,747,724
07/24/2021,Orleans,49,83
07/24/2021,Oswego,67,93
07/24/2021,Otsego,69,47
07/24/2021,Putnam,87,93
07/24/2021,Queens,"5,654","6,971"
07/24/2021,Rensselaer,118,145
07/24/2021,Richmond,"1,138","1,163"
07/24/2021,Rockland,721,758
07/24/2021,Saratoga,120,168
07/24/2021,Schenectady,197,205
07/24/2021,Schoharie,4,18
07/24/2021,Schuyler,4,14
07/24/2021,Seneca,30,57
07/24/2021,St. Lawrence,89,97
07/24/2021,Statewide Total,"43,055","43,055"
07/24/2021,Steuben,121,147
07/24/2021,Suffolk,"3,440","3,409"
07/24/2021,Sullivan,62,76
07/24/2021,Tioga,39,63
07/24/2021,Tompkins,53,52
07/24/2021,Ulster,150,258
07/24/2021,Warren,84,62
07/24/2021,Washington,32,55
07/24/2021,Wayne,41,73
07/24/2021,Westchester,"2,483","2,295"
07/24/2021,Wyoming,38,53
07/24/2021,Yates,20,26
07/25/2020,Albany,166,112
07/25/2020,Allegany,0,2
07/25/2020,Bronx,"3,065","3,342"
07/25/2020,Broome,72,69
07/25/2020,Cattaraugus,5,6
07/25/2020,Cayuga,1,2
07/25/2020,Chautauqua,5,4
07/25/2020,Chemung,5,2
07/25/2020,Chenango,3,6
07/25/2020,Clinton,4,4
07/25/2020,Columbia,43,47
07/25/2020,Cortland,0,1
07/25/2020,Delaware,0,4
07/25/2020,Dutchess,162,153
07/25/2020,Erie,619,591
07/25/2020,Essex,0,0
07/25/2020,Franklin,1,1
07/25/2020,Fulton,20,28
07/25/2020,Genesee,6,6
07/25/2020,Greene,5,13
07/25/2020,Hamilton,0,1
07/25/2020,Herkimer,1,3
07/25/2020,Jefferson,0,0
07/25/2020,Kings,"4,546","5,038"
07/25/2020,Lewis,0,5
07/25/2020,Livingston,4,4
07/25/2020,Madison,6,9
07/25/2020,Manhattan,"3,345","2,080"
07/25/2020,Monroe,266,250
07/25/2020,Montgomery,5,4
07/25/2020,Nassau,"2,705","2,193"
07/25/2020,Niagara,68,88
07/25/2020,Non-NYS,0,105
07/25/2020,Oneida,109,114
07/25/2020,Onondaga,185,170
07/25/2020,Ontario,26,27
07/25/2020,Orange,403,406
07/25/2020,Orleans,41,55
07/25/2020,Oswego,0,3
07/25/2020,Otsego,6,4
07/25/2020,Putnam,61,63
07/25/2020,Queens,"4,055","5,078"
07/25/2020,Rensselaer,39,35
07/25/2020,Richmond,746,748
07/25/2020,Rockland,470,507
07/25/2020,Saratoga,5,15
07/25/2020,Schenectady,36,38
07/25/2020,Schoharie,0,2
07/25/2020,Schuyler,0,0
07/25/2020,Seneca,0,1
07/25/2020,St. Lawrence,4,4
07/25/2020,Statewide Total,"25,106","25,106"
07/25/2020,Steuben,19,29
07/25/2020,Suffolk,"2,043","1,996"
07/25/2020,Sullivan,32,37
07/25/2020,Tioga,19,20
07/25/2020,Tompkins,2,0
07/25/2020,Ulster,49,81
07/25/2020,Warren,31,30
07/25/2020,Washington,11,14
07/25/2020,Wayne,1,2
07/25/2020,Westchester,"1,576","1,443"
07/25/2020,Wyoming,3,5
07/25/2020,Yates,6,6
07/25/2021,Albany,590,358
07/25/2021,Allegany,57,87
07/25/2021,Bronx,"4,145","4,573"
07/25/2021,Broome,407,367
07/25/2021,Cattaraugus,96,93
07/25/2021,Cayuga,77,92
07/25/2021,Chautauqua,139,146
07/25/2021,Chemung,175,137
07/25/2021,Chenango,54,77
07/25/2021,Clinton,38,33
07/25/2021,Columbia,105,104
07/25/2021,Cortland,61,64
07/25/2021,Delaware,17,39
07/25/2021,Dutchess,478,447
07/25/2021,Erie,"2,011","1,814"
07/25/2021,Essex,19,26
07/25/2021,Franklin,10,12
07/25/2021,Fulton,61,93
07/25/2021,Genesee,107,124
07/25/2021,Greene,30,79
07/25/2021,Hamilton,0,2
07/25/2021,Herkimer,53,110
07/25/2021,Jefferson,58,68
07/25/2021,Kings,"6,604","7,336"
07/25/2021,Lewis,13,36
07/25/2021,Livingston,36,60
07/25/2021,Madison,77,89
07/25/2021,Manhattan,"4,989","3,041"
07/25/2021,Monroe,"1,262","1,117"
07/25/2021,Montgomery,107,128
07/25/2021,Nassau,"3,848","3,184"
07/25/2021,Niagara,234,375
07/25/2021,Non-NYS,0,252
07/25/2021,Oneida,531,517
07/25/2021,Onondaga,795,680
07/25/2021,Ontario,117,93
07/25/2021,Orange,747,724
07/25/2021,Orleans,49,83
07/25/2021,Oswego,67,93
07/25/2021,Otsego,69,47
07/25/2021,Putnam,87,93
07/25/2021,Queens,"5,654","6,971"
07/25/2021,Rensselaer,118,145
07/25/2021,Richmond,"1,138","1,163"
07/25/2021,Rockland,721,758
07/25/2021,Saratoga,120,168
07/25/2021,Schenectady,197,205
07/25/2021,Schoharie,5,19
07/25/2021,Schuyler,4,14
07/25/2021,Seneca,30,57
07/25/2021,St. Lawrence,89,97
07/25/2021,Statewide Total,"43,059","43,059"
07/25/2021,Steuben,121,147
07/25/2021,Suffolk,"3,440","3,409"
07/25/2021,Sullivan,62,76
07/25/2021,Tioga,39,63
07/25/2021,Tompkins,53,52
07/25/2021,Ulster,150,258
07/25/2021,Warren,84,62
07/25/2021,Washington,32,55
07/25/2021,Wayne,41,73
07/25/2021,Westchester,"2,483","2,295"
07/25/2021,Wyoming,38,53
07/25/2021,Yates,20,26
07/26/2020,Albany,166,112
07/26/2020,Allegany,0,2
07/26/2020,Bronx,"3,069","3,347"
07/26/2020,Broome,72,69
07/26/2020,Cattaraugus,5,6
07/26/2020,Cayuga,1,2
07/26/2020,Chautauqua,5,4
07/26/2020,Chemung,5,2
07/26/2020,Chenango,3,6
07/26/2020,Clinton,4,4
07/26/2020,Columbia,43,47
07/26/2020,Cortland,0,1
07/26/2020,Delaware,0,4
07/26/2020,Dutchess,162,153
07/26/2020,Erie,619,592
07/26/2020,Essex,0,0
07/26/2020,Franklin,1,1
07/26/2020,Fulton,20,28
07/26/2020,Genesee,6,6
07/26/2020,Greene,5,13
07/26/2020,Hamilton,0,1
07/26/2020,Herkimer,1,3
07/26/2020,Jefferson,0,0
07/26/2020,Kings,"4,548","5,040"
07/26/2020,Lewis,0,5
07/26/2020,Livingston,4,4
07/26/2020,Madison,6,9
07/26/2020,Manhattan,"3,345","2,080"
07/26/2020,Monroe,266,250
07/26/2020,Montgomery,5,4
07/26/2020,Nassau,"2,706","2,194"
07/26/2020,Niagara,68,88
07/26/2020,Non-NYS,0,105
07/26/2020,Oneida,109,114
07/26/2020,Onondaga,186,170
07/26/2020,Ontario,26,27
07/26/2020,Orange,403,406
07/26/2020,Orleans,41,55
07/26/2020,Oswego,0,3
07/26/2020,Otsego,6,4
07/26/2020,Putnam,61,63
07/26/2020,Queens,"4,056","5,079"
07/26/2020,Rensselaer,39,35
07/26/2020,Richmond,747,749
07/26/2020,Rockland,470,507
07/26/2020,Saratoga,5,15
07/26/2020,Schenectady,36,38
07/26/2020,Schoharie,0,2
07/26/2020,Schuyler,0,0
07/26/2020,Seneca,0,1
07/26/2020,St. Lawrence,4,4
07/26/2020,Statewide Total,"25,117","25,117"
07/26/2020,Steuben,19,29
07/26/2020,Suffolk,"2,043","1,996"
07/26/2020,Sullivan,32,37
07/26/2020,Tioga,19,20
07/26/2020,Tompkins,2,0
07/26/2020,Ulster,49,81
07/26/2020,Warren,31,30
07/26/2020,Washington,11,14
07/26/2020,Wayne,1,2
07/26/2020,Westchester,"1,577","1,443"
07/26/2020,Wyoming,3,5
07/26/2020,Yates,6,6
07/26/2021,Albany,590,358
07/26/2021,Allegany,57,87
07/26/2021,Bronx,"4,145","4,573"
07/26/2021,Broome,407,367
07/26/2021,Cattaraugus,96,93
07/26/2021,Cayuga,77,92
07/26/2021,Chautauqua,139,146
07/26/2021,Chemung,175,137
07/26/2021,Chenango,54,77
07/26/2021,Clinton,38,33
07/26/2021,Columbia,105,104
07/26/2021,Cortland,61,64
07/26/2021,Delaware,17,39
07/26/2021,Dutchess,478,447
07/26/2021,Erie,"2,011","1,814"
07/26/2021,Essex,19,26
07/26/2021,Franklin,10,12
07/26/2021,Fulton,61,93
07/26/2021,Genesee,107,124
07/26/2021,Greene,30,79
07/26/2021,Hamilton,0,2
07/26/2021,Herkimer,53,110
07/26/2021,Jefferson,58,68
07/26/2021,Kings,"6,604","7,336"
07/26/2021,Lewis,13,36
07/26/2021,Livingston,36,60
07/26/2021,Madison,77,89
07/26/2021,Manhattan,"4,989","3,041"
07/26/2021,Monroe,"1,262","1,117"
07/26/2021,Montgomery,107,128
07/26/2021,Nassau,"3,848","3,184"
07/26/2021,Niagara,234,375
07/26/2021,Non-NYS,0,252
07/26/2021,Oneida,531,517
07/26/2021,Onondaga,795,680
07/26/2021,Ontario,117,93
07/26/2021,Orange,747,724
07/26/2021,Orleans,49,83
07/26/2021,Oswego,67,93
07/26/2021,Otsego,69,47
07/26/2021,Putnam,87,93
07/26/2021,Queens,"5,655","6,972"
07/26/2021,Rensselaer,118,145
07/26/2021,Richmond,"1,138","1,163"
07/26/2021,Rockland,721,758
07/26/2021,Saratoga,120,168
07/26/2021,Schenectady,197,205
07/26/2021,Schoharie,5,19
07/26/2021,Schuyler,4,14
07/26/2021,Seneca,30,57
07/26/2021,St. Lawrence,89,97
07/26/2021,Statewide Total,"43,061","43,061"
07/26/2021,Steuben,121,147
07/26/2021,Suffolk,"3,441","3,410"
07/26/2021,Sullivan,62,76
07/26/2021,Tioga,39,63
07/26/2021,Tompkins,53,52
07/26/2021,Ulster,150,258
07/26/2021,Warren,84,62
07/26/2021,Washington,32,55
07/26/2021,Wayne,41,73
07/26/2021,Westchester,"2,483","2,295"
07/26/2021,Wyoming,38,53
07/26/2021,Yates,20,26
07/27/2020,Albany,167,113
07/27/2020,Allegany,0,2
07/27/2020,Bronx,"3,070","3,348"
07/27/2020,Broome,73,70
07/27/2020,Cattaraugus,5,6
07/27/2020,Cayuga,1,2
07/27/2020,Chautauqua,5,4
07/27/2020,Chemung,5,2
07/27/2020,Chenango,3,6
07/27/2020,Clinton,4,4
07/27/2020,Columbia,43,47
07/27/2020,Cortland,0,1
07/27/2020,Delaware,0,4
07/27/2020,Dutchess,162,153
07/27/2020,Erie,619,592
07/27/2020,Essex,0,0
07/27/2020,Franklin,1,1
07/27/2020,Fulton,20,28
07/27/2020,Genesee,6,6
07/27/2020,Greene,5,13
07/27/2020,Hamilton,0,1
07/27/2020,Herkimer,1,3
07/27/2020,Jefferson,0,0
07/27/2020,Kings,"4,550","5,042"
07/27/2020,Lewis,0,5
07/27/2020,Livingston,4,4
07/27/2020,Madison,6,9
07/27/2020,Manhattan,"3,345","2,080"
07/27/2020,Monroe,266,250
07/27/2020,Montgomery,5,4
07/27/2020,Nassau,"2,706","2,194"
07/27/2020,Niagara,68,88
07/27/2020,Non-NYS,0,105
07/27/2020,Oneida,110,115
07/27/2020,Onondaga,187,171
07/27/2020,Ontario,26,27
07/27/2020,Orange,403,406
07/27/2020,Orleans,41,55
07/27/2020,Oswego,0,3
07/27/2020,Otsego,6,4
07/27/2020,Putnam,61,63
07/27/2020,Queens,"4,058","5,081"
07/27/2020,Rensselaer,39,35
07/27/2020,Richmond,747,749
07/27/2020,Rockland,470,507
07/27/2020,Saratoga,5,15
07/27/2020,Schenectady,36,38
07/27/2020,Schoharie,0,2
07/27/2020,Schuyler,0,0
07/27/2020,Seneca,0,1
07/27/2020,St. Lawrence,4,4
07/27/2020,Statewide Total,"25,126","25,126"
07/27/2020,Steuben,19,29
07/27/2020,Suffolk,"2,043","1,996"
07/27/2020,Sullivan,32,37
07/27/2020,Tioga,19,20
07/27/2020,Tompkins,2,0
07/27/2020,Ulster,49,81
07/27/2020,Warren,31,30
07/27/2020,Washington,11,14
07/27/2020,Wayne,1,2
07/27/2020,Westchester,"1,577","1,443"
07/27/2020,Wyoming,3,5
07/27/2020,Yates,6,6
07/27/2021,Albany,590,358
07/27/2021,Allegany,57,87
07/27/2021,Bronx,"4,145","4,573"
07/27/2021,Broome,407,367
07/27/2021,Cattaraugus,96,93
07/27/2021,Cayuga,77,92
07/27/2021,Chautauqua,139,146
07/27/2021,Chemung,175,137
07/27/2021,Chenango,54,77
07/27/2021,Clinton,38,33
07/27/2021,Columbia,105,104
07/27/2021,Cortland,61,64
07/27/2021,Delaware,17,39
07/27/2021,Dutchess,478,447
07/27/2021,Erie,"2,011","1,814"
07/27/2021,Essex,19,26
07/27/2021,Franklin,10,12
07/27/2021,Fulton,61,93
07/27/2021,Genesee,107,124
07/27/2021,Greene,30,79
07/27/2021,Hamilton,0,2
07/27/2021,Herkimer,53,110
07/27/2021,Jefferson,58,68
07/27/2021,Kings,"6,604","7,336"
07/27/2021,Lewis,13,36
07/27/2021,Livingston,36,60
07/27/2021,Madison,77,89
07/27/2021,Manhattan,"4,990","3,042"
07/27/2021,Monroe,"1,262","1,117"
07/27/2021,Montgomery,107,128
07/27/2021,Nassau,"3,848","3,184"
07/27/2021,Niagara,234,375
07/27/2021,Non-NYS,0,252
07/27/2021,Oneida,532,518
07/27/2021,Onondaga,795,680
07/27/2021,Ontario,117,93
07/27/2021,Orange,747,724
07/27/2021,Orleans,49,83
07/27/2021,Oswego,67,93
07/27/2021,Otsego,69,47
07/27/2021,Putnam,87,93
07/27/2021,Queens,"5,655","6,972"
07/27/2021,Rensselaer,118,145
07/27/2021,Richmond,"1,139","1,164"
07/27/2021,Rockland,721,758
07/27/2021,Saratoga,120,168
07/27/2021,Schenectady,198,206
07/27/2021,Schoharie,5,19
07/27/2021,Schuyler,4,14
07/27/2021,Seneca,30,57
07/27/2021,St. Lawrence,89,97
07/27/2021,Statewide Total,"43,068","43,068"
07/27/2021,Steuben,121,147
07/27/2021,Suffolk,"3,443","3,412"
07/27/2021,Sullivan,62,76
07/27/2021,Tioga,39,63
07/27/2021,Tompkins,53,52
07/27/2021,Ulster,150,258
07/27/2021,Warren,84,62
07/27/2021,Washington,32,55
07/27/2021,Wayne,41,73
07/27/2021,Westchester,"2,484","2,296"
07/27/2021,Wyoming,38,53
07/27/2021,Yates,20,26
07/28/2020,Albany,168,114
07/28/2020,Allegany,0,2
07/28/2020,Bronx,"3,071","3,349"
07/28/2020,Broome,74,71
07/28/2020,Cattaraugus,5,6
07/28/2020,Cayuga,1,2
07/28/2020,Chautauqua,5,4
07/28/2020,Chemung,5,2
07/28/2020,Chenango,3,6
07/28/2020,Clinton,4,4
07/28/2020,Columbia,43,47
07/28/2020,Cortland,0,1
07/28/2020,Delaware,0,4
07/28/2020,Dutchess,162,153
07/28/2020,Erie,620,593
07/28/2020,Essex,0,0
07/28/2020,Franklin,1,1
07/28/2020,Fulton,20,28
07/28/2020,Genesee,6,6
07/28/2020,Greene,5,13
07/28/2020,Hamilton,0,1
07/28/2020,Herkimer,1,3
07/28/2020,Jefferson,0,0
07/28/2020,Kings,"4,550","5,043"
07/28/2020,Lewis,0,5
07/28/2020,Livingston,4,4
07/28/2020,Madison,6,9
07/28/2020,Manhattan,"3,346","2,080"
07/28/2020,Monroe,266,250
07/28/2020,Montgomery,5,4
07/28/2020,Nassau,"2,706","2,194"
07/28/2020,Niagara,68,88
07/28/2020,Non-NYS,0,105
07/28/2020,Oneida,110,115
07/28/2020,Onondaga,187,171
07/28/2020,Ontario,26,27
07/28/2020,Orange,404,407
07/28/2020,Orleans,41,55
07/28/2020,Oswego,0,3
07/28/2020,Otsego,6,4
07/28/2020,Putnam,61,63
07/28/2020,Queens,"4,058","5,081"
07/28/2020,Rensselaer,39,35
07/28/2020,Richmond,747,749
07/28/2020,Rockland,470,507
07/28/2020,Saratoga,5,15
07/28/2020,Schenectady,36,38
07/28/2020,Schoharie,0,2
07/28/2020,Schuyler,0,0
07/28/2020,Seneca,0,1
07/28/2020,St. Lawrence,4,4
07/28/2020,Statewide Total,"25,132","25,132"
07/28/2020,Steuben,19,29
07/28/2020,Suffolk,"2,043","1,996"
07/28/2020,Sullivan,32,37
07/28/2020,Tioga,19,20
07/28/2020,Tompkins,2,0
07/28/2020,Ulster,49,81
07/28/2020,Warren,31,30
07/28/2020,Washington,11,14
07/28/2020,Wayne,1,2
07/28/2020,Westchester,"1,577","1,443"
07/28/2020,Wyoming,3,5
07/28/2020,Yates,6,6
07/28/2021,Albany,590,358
07/28/2021,Allegany,57,87
07/28/2021,Bronx,"4,145","4,573"
07/28/2021,Broome,407,367
07/28/2021,Cattaraugus,96,93
07/28/2021,Cayuga,77,92
07/28/2021,Chautauqua,139,146
07/28/2021,Chemung,175,137
07/28/2021,Chenango,54,77
07/28/2021,Clinton,38,33
07/28/2021,Columbia,105,104
07/28/2021,Cortland,61,64
07/28/2021,Delaware,17,39
07/28/2021,Dutchess,478,447
07/28/2021,Erie,"2,011","1,814"
07/28/2021,Essex,19,26
07/28/2021,Franklin,10,12
07/28/2021,Fulton,61,93
07/28/2021,Genesee,107,124
07/28/2021,Greene,30,79
07/28/2021,Hamilton,0,2
07/28/2021,Herkimer,53,110
07/28/2021,Jefferson,58,68
07/28/2021,Kings,"6,605","7,337"
07/28/2021,Lewis,13,36
07/28/2021,Livingston,36,60
07/28/2021,Madison,77,89
07/28/2021,Manhattan,"4,991","3,043"
07/28/2021,Monroe,"1,262","1,117"
07/28/2021,Montgomery,107,128
07/28/2021,Nassau,"3,848","3,184"
07/28/2021,Niagara,234,375
07/28/2021,Non-NYS,0,252
07/28/2021,Oneida,532,518
07/28/2021,Onondaga,795,680
07/28/2021,Ontario,117,93
07/28/2021,Orange,747,724
07/28/2021,Orleans,49,83
07/28/2021,Oswego,67,93
07/28/2021,Otsego,69,47
07/28/2021,Putnam,87,93
07/28/2021,Queens,"5,655","6,972"
07/28/2021,Rensselaer,118,145
07/28/2021,Richmond,"1,139","1,164"
07/28/2021,Rockland,721,758
07/28/2021,Saratoga,120,168
07/28/2021,Schenectady,198,206
07/28/2021,Schoharie,5,19
07/28/2021,Schuyler,4,14
07/28/2021,Seneca,30,57
07/28/2021,St. Lawrence,89,97
07/28/2021,Statewide Total,"43,070","43,070"
07/28/2021,Steuben,121,147
07/28/2021,Suffolk,"3,443","3,412"
07/28/2021,Sullivan,62,76
07/28/2021,Tioga,39,63
07/28/2021,Tompkins,53,52
07/28/2021,Ulster,150,258
07/28/2021,Warren,84,62
07/28/2021,Washington,32,55
07/28/2021,Wayne,41,73
07/28/2021,Westchester,"2,484","2,296"
07/28/2021,Wyoming,38,53
07/28/2021,Yates,20,26
07/29/2020,Albany,169,115
07/29/2020,Allegany,0,2
07/29/2020,Bronx,"3,073","3,351"
07/29/2020,Broome,76,72
07/29/2020,Cattaraugus,5,6
07/29/2020,Cayuga,1,2
07/29/2020,Chautauqua,5,4
07/29/2020,Chemung,5,2
07/29/2020,Chenango,3,6
07/29/2020,Clinton,4,4
07/29/2020,Columbia,43,47
07/29/2020,Cortland,0,1
07/29/2020,Delaware,0,4
07/29/2020,Dutchess,162,153
07/29/2020,Erie,621,594
07/29/2020,Essex,0,0
07/29/2020,Franklin,1,1
07/29/2020,Fulton,20,28
07/29/2020,Genesee,6,6
07/29/2020,Greene,5,13
07/29/2020,Hamilton,0,1
07/29/2020,Herkimer,2,4
07/29/2020,Jefferson,0,0
07/29/2020,Kings,"4,551","5,044"
07/29/2020,Lewis,0,5
07/29/2020,Livingston,4,4
07/29/2020,Madison,6,9
07/29/2020,Manhattan,"3,349","2,081"
07/29/2020,Monroe,266,250
07/29/2020,Montgomery,5,4
07/29/2020,Nassau,"2,706","2,194"
07/29/2020,Niagara,68,88
07/29/2020,Non-NYS,0,105
07/29/2020,Oneida,110,115
07/29/2020,Onondaga,187,171
07/29/2020,Ontario,26,27
07/29/2020,Orange,404,407
07/29/2020,Orleans,41,55
07/29/2020,Oswego,0,3
07/29/2020,Otsego,6,4
07/29/2020,Putnam,61,63
07/29/2020,Queens,"4,059","5,083"
07/29/2020,Rensselaer,39,35
07/29/2020,Richmond,747,749
07/29/2020,Rockland,470,507
07/29/2020,Saratoga,5,15
07/29/2020,Schenectady,36,38
07/29/2020,Schoharie,0,2
07/29/2020,Schuyler,0,0
07/29/2020,Seneca,0,1
07/29/2020,St. Lawrence,4,4
07/29/2020,Statewide Total,"25,145","25,145"
07/29/2020,Steuben,19,29
07/29/2020,Suffolk,"2,043","1,996"
07/29/2020,Sullivan,32,37
07/29/2020,Tioga,19,21
07/29/2020,Tompkins,2,0
07/29/2020,Ulster,49,81
07/29/2020,Warren,31,30
07/29/2020,Washington,11,14
07/29/2020,Wayne,1,2
07/29/2020,Westchester,"1,578","1,445"
07/29/2020,Wyoming,3,5
07/29/2020,Yates,6,6
07/29/2021,Albany,590,358
07/29/2021,Allegany,57,87
07/29/2021,Bronx,"4,145","4,573"
07/29/2021,Broome,407,367
07/29/2021,Cattaraugus,97,93
07/29/2021,Cayuga,77,92
07/29/2021,Chautauqua,139,146
07/29/2021,Chemung,175,137
07/29/2021,Chenango,54,77
07/29/2021,Clinton,38,33
07/29/2021,Columbia,105,104
07/29/2021,Cortland,61,64
07/29/2021,Delaware,17,39
07/29/2021,Dutchess,478,447
07/29/2021,Erie,"2,011","1,814"
07/29/2021,Essex,19,26
07/29/2021,Franklin,10,12
07/29/2021,Fulton,61,93
07/29/2021,Genesee,107,124
07/29/2021,Greene,30,79
07/29/2021,Hamilton,0,2
07/29/2021,Herkimer,53,110
07/29/2021,Jefferson,58,68
07/29/2021,Kings,"6,606","7,338"
07/29/2021,Lewis,13,36
07/29/2021,Livingston,36,60
07/29/2021,Madison,77,89
07/29/2021,Manhattan,"4,992","3,044"
07/29/2021,Monroe,"1,262","1,117"
07/29/2021,Montgomery,107,128
07/29/2021,Nassau,"3,848","3,184"
07/29/2021,Niagara,234,375
07/29/2021,Non-NYS,0,253
07/29/2021,Oneida,532,518
07/29/2021,Onondaga,795,680
07/29/2021,Ontario,117,93
07/29/2021,Orange,748,725
07/29/2021,Orleans,49,83
07/29/2021,Oswego,67,93
07/29/2021,Otsego,69,47
07/29/2021,Putnam,87,93
07/29/2021,Queens,"5,655","6,972"
07/29/2021,Rensselaer,118,145
07/29/2021,Richmond,"1,139","1,164"
07/29/2021,Rockland,721,758
07/29/2021,Saratoga,120,168
07/29/2021,Schenectady,198,206
07/29/2021,Schoharie,5,19
07/29/2021,Schuyler,4,14
07/29/2021,Seneca,30,57
07/29/2021,St. Lawrence,89,97
07/29/2021,Statewide Total,"43,074","43,074"
07/29/2021,Steuben,121,147
07/29/2021,Suffolk,"3,443","3,412"
07/29/2021,Sullivan,62,76
07/29/2021,Tioga,39,63
07/29/2021,Tompkins,53,52
07/29/2021,Ulster,150,258
07/29/2021,Warren,84,62
07/29/2021,Washington,32,55
07/29/2021,Wayne,41,73
07/29/2021,Westchester,"2,484","2,296"
07/29/2021,Wyoming,38,53
07/29/2021,Yates,20,26
07/30/2020,Albany,169,115
07/30/2020,Allegany,0,2
07/30/2020,Bronx,"3,074","3,352"
07/30/2020,Broome,76,72
07/30/2020,Cattaraugus,5,6
07/30/2020,Cayuga,1,2
07/30/2020,Chautauqua,5,4
07/30/2020,Chemung,5,2
07/30/2020,Chenango,3,6
07/30/2020,Clinton,4,4
07/30/2020,Columbia,43,47
07/30/2020,Cortland,0,1
07/30/2020,Delaware,0,4
07/30/2020,Dutchess,162,153
07/30/2020,Erie,621,594
07/30/2020,Essex,0,0
07/30/2020,Franklin,1,1
07/30/2020,Fulton,20,28
07/30/2020,Genesee,6,6
07/30/2020,Greene,5,13
07/30/2020,Hamilton,0,1
07/30/2020,Herkimer,3,5
07/30/2020,Jefferson,0,0
07/30/2020,Kings,"4,551","5,044"
07/30/2020,Lewis,0,5
07/30/2020,Livingston,4,4
07/30/2020,Madison,6,9
07/30/2020,Manhattan,"3,349","2,081"
07/30/2020,Monroe,266,250
07/30/2020,Montgomery,5,4
07/30/2020,Nassau,"2,706","2,194"
07/30/2020,Niagara,68,88
07/30/2020,Non-NYS,0,105
07/30/2020,Oneida,110,115
07/30/2020,Onondaga,188,172
07/30/2020,Ontario,26,27
07/30/2020,Orange,404,407
07/30/2020,Orleans,41,55
07/30/2020,Oswego,0,3
07/30/2020,Otsego,6,4
07/30/2020,Putnam,61,63
07/30/2020,Queens,"4,059","5,083"
07/30/2020,Rensselaer,39,35
07/30/2020,Richmond,747,749
07/30/2020,Rockland,470,507
07/30/2020,Saratoga,5,15
07/30/2020,Schenectady,37,39
07/30/2020,Schoharie,0,2
07/30/2020,Schuyler,0,0
07/30/2020,Seneca,0,1
07/30/2020,St. Lawrence,4,4
07/30/2020,Statewide Total,"25,150","25,150"
07/30/2020,Steuben,19,29
07/30/2020,Suffolk,"2,044","1,997"
07/30/2020,Sullivan,32,37
07/30/2020,Tioga,19,21
07/30/2020,Tompkins,2,0
07/30/2020,Ulster,49,81
07/30/2020,Warren,31,30
07/30/2020,Washington,11,14
07/30/2020,Wayne,1,2
07/30/2020,Westchester,"1,578","1,445"
07/30/2020,Wyoming,3,5
07/30/2020,Yates,6,6
07/30/2021,Albany,590,358
07/30/2021,Allegany,57,87
07/30/2021,Bronx,"4,145","4,573"
07/30/2021,Broome,407,367
07/30/2021,Cattaraugus,97,93
07/30/2021,Cayuga,77,92
07/30/2021,Chautauqua,139,146
07/30/2021,Chemung,175,137
07/30/2021,Chenango,54,77
07/30/2021,Clinton,38,33
07/30/2021,Columbia,105,104
07/30/2021,Cortland,61,64
07/30/2021,Delaware,17,39
07/30/2021,Dutchess,478,447
07/30/2021,Erie,"2,011","1,814"
07/30/2021,Essex,19,26
07/30/2021,Franklin,10,12
07/30/2021,Fulton,61,93
07/30/2021,Genesee,107,124
07/30/2021,Greene,30,79
07/30/2021,Hamilton,0,2
07/30/2021,Herkimer,53,110
07/30/2021,Jefferson,58,68
07/30/2021,Kings,"6,607","7,338"
07/30/2021,Lewis,13,36
07/30/2021,Livingston,36,60
07/30/2021,Madison,77,89
07/30/2021,Manhattan,"4,992","3,044"
